2000-01-01 01:05:07 status half-configured libidn11:armhf 1.28-1ubuntu2
2000-01-01 01:05:08 status installed libidn11:armhf 1.28-1ubuntu2
2000-01-01 01:05:08 configure libxau6:armhf 1:1.0.8-1 <none>
2000-01-01 01:05:08 status unpacked libxau6:armhf 1:1.0.8-1
2000-01-01 01:05:08 status half-configured libxau6:armhf 1:1.0.8-1
2000-01-01 01:05:08 status installed libxau6:armhf 1:1.0.8-1
2000-01-01 01:05:08 configure libxdmcp6:armhf 1:1.1.1-1 <none>
2000-01-01 01:05:08 status unpacked libxdmcp6:armhf 1:1.1.1-1
2000-01-01 01:05:08 status half-configured libxdmcp6:armhf 1:1.1.1-1
2000-01-01 01:05:08 status installed libxdmcp6:armhf 1:1.1.1-1
2000-01-01 01:05:09 configure libxcb1:armhf 1.10-2ubuntu1 <none>
2000-01-01 01:05:09 status unpacked libxcb1:armhf 1.10-2ubuntu1
2000-01-01 01:05:09 status half-configured libxcb1:armhf 1.10-2ubuntu1
2000-01-01 01:05:09 status installed libxcb1:armhf 1.10-2ubuntu1
2000-01-01 01:05:09 configure libx11-data:all 2:1.6.2-1ubuntu2 <none>
2000-01-01 01:05:09 status unpacked libx11-data:all 2:1.6.2-1ubuntu2
2000-01-01 01:05:09 status half-configured libx11-data:all 2:1.6.2-1ubuntu2
2000-01-01 01:05:09 status installed libx11-data:all 2:1.6.2-1ubuntu2
2000-01-01 01:05:09 configure libx11-6:armhf 2:1.6.2-1ubuntu2 <none>
2000-01-01 01:05:09 status unpacked libx11-6:armhf 2:1.6.2-1ubuntu2
2000-01-01 01:05:09 status half-configured libx11-6:armhf 2:1.6.2-1ubuntu2
2000-01-01 01:05:09 status installed libx11-6:armhf 2:1.6.2-1ubuntu2
2000-01-01 01:05:09 configure libxext6:armhf 2:1.3.2-1 <none>
2000-01-01 01:05:09 status unpacked libxext6:armhf 2:1.3.2-1
2000-01-01 01:05:09 status half-configured libxext6:armhf 2:1.3.2-1
2000-01-01 01:05:09 status installed libxext6:armhf 2:1.3.2-1
2000-01-01 01:05:09 configure libxmuu1:armhf 2:1.1.1-1 <none>
2000-01-01 01:05:09 status unpacked libxmuu1:armhf 2:1.1.1-1
2000-01-01 01:05:09 status half-configured libxmuu1:armhf 2:1.1.1-1
2000-01-01 01:05:10 status installed libxmuu1:armhf 2:1.1.1-1
2000-01-01 01:05:10 configure libck-connector0:armhf 0.4.5-3.1ubuntu2 <none>
2000-01-01 01:05:10 status unpacked libck-connector0:armhf 0.4.5-3.1ubuntu2
2000-01-01 01:05:10 status half-configured libck-connector0:armhf 0.4.5-3.1ubuntu2
2000-01-01 01:05:10 status installed libck-connector0:armhf 0.4.5-3.1ubuntu2
2000-01-01 01:05:10 configure libwrap0:armhf 7.6.q-25 <none>
2000-01-01 01:05:10 status unpacked libwrap0:armhf 7.6.q-25
2000-01-01 01:05:10 status half-configured libwrap0:armhf 7.6.q-25
2000-01-01 01:05:10 status installed libwrap0:armhf 7.6.q-25
2000-01-01 01:05:10 configure openssl:armhf 1.0.1h-0linaro1 <none>
2000-01-01 01:05:10 status unpacked openssl:armhf 1.0.1h-0linaro1
2000-01-01 01:05:10 status unpacked openssl:armhf 1.0.1h-0linaro1
2000-01-01 01:05:10 status half-configured openssl:armhf 1.0.1h-0linaro1
2000-01-01 01:05:10 status installed openssl:armhf 1.0.1h-0linaro1
2000-01-01 01:05:10 configure ca-certificates:all 20130906ubuntu2 <none>
2000-01-01 01:05:10 status unpacked ca-certificates:all 20130906ubuntu2
2000-01-01 01:05:11 status half-configured ca-certificates:all 20130906ubuntu2
2000-01-01 01:05:14 status installed ca-certificates:all 20130906ubuntu2
2000-01-01 01:05:14 status triggers-pending ca-certificates:all 20130906ubuntu2
2000-01-01 01:05:14 configure krb5-locales:all 1.12+dfsg-2ubuntu4 <none>
2000-01-01 01:05:14 status unpacked krb5-locales:all 1.12+dfsg-2ubuntu4
2000-01-01 01:05:14 status half-configured krb5-locales:all 1.12+dfsg-2ubuntu4
2000-01-01 01:05:15 status installed krb5-locales:all 1.12+dfsg-2ubuntu4
2000-01-01 01:05:15 configure nano:armhf 2.2.6-1ubuntu1 <none>
2000-01-01 01:05:15 status unpacked nano:armhf 2.2.6-1ubuntu1
2000-01-01 01:05:15 status unpacked nano:armhf 2.2.6-1ubuntu1
2000-01-01 01:05:15 status half-configured nano:armhf 2.2.6-1ubuntu1
2000-01-01 01:05:15 status installed nano:armhf 2.2.6-1ubuntu1
2000-01-01 01:05:15 configure openssh-client:armhf 1:6.6p1-2ubuntu1 <none>
2000-01-01 01:05:15 status unpacked openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:15 status unpacked openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:15 status unpacked openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:15 status half-configured openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:16 status installed openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:16 configure wget:armhf 1.15-1ubuntu1 <none>
2000-01-01 01:05:16 status unpacked wget:armhf 1.15-1ubuntu1
2000-01-01 01:05:17 status unpacked wget:armhf 1.15-1ubuntu1
2000-01-01 01:05:17 status half-configured wget:armhf 1.15-1ubuntu1
2000-01-01 01:05:17 status installed wget:armhf 1.15-1ubuntu1
2000-01-01 01:05:17 configure xauth:armhf 1:1.0.7-1ubuntu1 <none>
2000-01-01 01:05:17 status unpacked xauth:armhf 1:1.0.7-1ubuntu1
2000-01-01 01:05:17 status half-configured xauth:armhf 1:1.0.7-1ubuntu1
2000-01-01 01:05:17 status installed xauth:armhf 1:1.0.7-1ubuntu1
2000-01-01 01:05:17 configure python-support:all 1.0.15 <none>
2000-01-01 01:05:17 status unpacked python-support:all 1.0.15
2000-01-01 01:05:17 status half-configured python-support:all 1.0.15
2000-01-01 01:05:18 status installed python-support:all 1.0.15
2000-01-01 01:05:18 configure cpuset:all 1.5.6-3 <none>
2000-01-01 01:05:18 status unpacked cpuset:all 1.5.6-3
2000-01-01 01:05:18 status half-configured cpuset:all 1.5.6-3
2000-01-01 01:05:19 status installed cpuset:all 1.5.6-3
2000-01-01 01:05:19 status triggers-pending python-support:all 1.0.15
2000-01-01 01:05:19 configure ncurses-term:all 5.9+20140118-1ubuntu1 <none>
2000-01-01 01:05:19 status unpacked ncurses-term:all 5.9+20140118-1ubuntu1
2000-01-01 01:05:19 status half-configured ncurses-term:all 5.9+20140118-1ubuntu1
2000-01-01 01:05:19 status installed ncurses-term:all 5.9+20140118-1ubuntu1
2000-01-01 01:05:19 configure openssh-sftp-server:armhf 1:6.6p1-2ubuntu1 <none>
2000-01-01 01:05:19 status unpacked openssh-sftp-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status half-configured openssh-sftp-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status installed openssh-sftp-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 configure openssh-server:armhf 1:6.6p1-2ubuntu1 <none>
2000-01-01 01:05:19 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:19 status half-configured openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:27 status installed openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:05:27 configure python-chardet:all 2.0.1-2build2 <none>
2000-01-01 01:05:27 status unpacked python-chardet:all 2.0.1-2build2
2000-01-01 01:05:27 status half-configured python-chardet:all 2.0.1-2build2
2000-01-01 01:05:28 status installed python-chardet:all 2.0.1-2build2
2000-01-01 01:05:28 configure python-six:all 1.5.2-1 <none>
2000-01-01 01:05:28 status unpacked python-six:all 1.5.2-1
2000-01-01 01:05:28 status half-configured python-six:all 1.5.2-1
2000-01-01 01:05:29 status installed python-six:all 1.5.2-1
2000-01-01 01:05:29 configure python-urllib3:all 1.7.1-1build1 <none>
2000-01-01 01:05:29 status unpacked python-urllib3:all 1.7.1-1build1
2000-01-01 01:05:29 status half-configured python-urllib3:all 1.7.1-1build1
2000-01-01 01:05:29 status installed python-urllib3:all 1.7.1-1build1
2000-01-01 01:05:32 configure python-requests:all 2.2.1-1 <none>
2000-01-01 01:05:32 status unpacked python-requests:all 2.2.1-1
2000-01-01 01:05:32 status half-configured python-requests:all 2.2.1-1
2000-01-01 01:05:33 status installed python-requests:all 2.2.1-1
2000-01-01 01:05:34 configure tcpd:armhf 7.6.q-25 <none>
2000-01-01 01:05:34 status unpacked tcpd:armhf 7.6.q-25
2000-01-01 01:05:34 status half-configured tcpd:armhf 7.6.q-25
2000-01-01 01:05:34 status installed tcpd:armhf 7.6.q-25
2000-01-01 01:05:35 configure monit:armhf 1:5.6-2 <none>
2000-01-01 01:05:35 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:35 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:35 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:35 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:35 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:35 status unpacked monit:armhf 1:5.6-2
